first,system:index,lat,lon
1.7464530447134162E-5,0,-8.625,113.375
1.36181164592205E-5,1,-8.625,113.625
,2,-8.375,110.875
1.0903955231194591E-5,3,-8.375,111.125
1.1745015639902995E-5,4,-8.375,111.375
2.0539249817814203E-6,5,-8.375,111.625
,6,-8.375,111.875
,7,-8.375,112.125
,8,-8.375,112.375
,9,-8.375,112.625
,10,-8.375,112.875
1.050030383828526E-5,11,-8.375,113.125
1.1946014499891202E-5,12,-8.375,113.375
1.0077714466769877E-5,13,-8.375,113.625
,14,-8.125,110.125
,15,-8.125,110.375
,16,-8.125,110.625
,17,-8.125,110.875
,18,-8.125,111.125
,19,-8.125,111.375
,20,-8.125,111.625
,21,-8.125,111.875
,22,-8.125,112.125
,23,-8.125,112.375
,24,-8.125,112.625
,25,-8.125,112.875
,26,-8.125,113.125
9.9232656991717E-6,27,-8.125,113.375
,28,-8.125,113.625
,29,-7.875,108.125
,30,-7.875,108.375
,31,-7.875,108.625
,32,-7.875,108.875
,33,-7.875,109.125
,34,-7.875,109.375
2.0985894142313325E-5,35,-7.875,109.625
,36,-7.875,109.875
,37,-7.875,110.125
,38,-7.875,110.375
,39,-7.875,110.625
,40,-7.875,110.875
,41,-7.875,111.125
,42,-7.875,111.375
,43,-7.875,111.625
,44,-7.875,111.875
,45,-7.875,112.125
,46,-7.875,112.375
2.4218971426101537E-5,47,-7.875,112.625
3.454024990582001E-5,48,-7.875,112.875
2.5613106896899536E-5,49,-7.875,113.125
4.0407583209819374E-5,50,-7.875,113.375
6.2381013885839E-5,51,-7.875,113.625
,52,-7.625,107.375
,53,-7.625,107.625
,54,-7.625,107.875
,55,-7.625,108.125
,56,-7.625,108.375
,57,-7.625,108.625
,58,-7.625,108.875
,59,-7.625,109.125
,60,-7.625,109.375
,61,-7.625,109.625
,62,-7.625,109.875
,63,-7.625,110.125
,64,-7.625,110.375
,65,-7.625,110.625
,66,-7.625,110.875
,67,-7.625,111.125
,68,-7.625,111.375
,69,-7.625,111.625
,70,-7.625,111.875
,71,-7.625,112.125
5.083145715036791E-5,72,-7.625,112.375
3.607948783005834E-5,73,-7.625,112.625
3.105990384761571E-5,74,-7.625,112.875
2.6829870269220678E-5,75,-7.625,113.125
2.2496996335473878E-5,76,-7.625,113.375
2.711463339587207E-5,77,-7.625,113.625
,78,-7.375,106.375
,79,-7.375,106.625
,80,-7.375,106.875
,81,-7.375,107.125
,82,-7.375,107.375
,83,-7.375,107.625
,84,-7.375,107.875
,85,-7.375,108.125
,86,-7.375,108.375
,87,-7.375,108.625
,88,-7.375,108.875
,89,-7.375,109.125
,90,-7.375,109.375
,91,-7.375,109.625
,92,-7.375,109.875
,93,-7.375,110.125
,94,-7.375,110.375
,95,-7.375,110.625
,96,-7.375,110.875
,97,-7.375,111.125
,98,-7.375,111.375
2.0202951548941777E-5,99,-7.375,111.625
,100,-7.375,111.875
,101,-7.375,112.125
4.6434686679501356E-5,102,-7.375,112.375
4.275855666993042E-5,103,-7.375,112.625
2.1056546363139728E-5,104,-7.375,112.875
1.5005842148783866E-5,105,-7.375,113.125
1.731607780850097E-5,106,-7.375,113.625
,107,-7.125,105.625
,108,-7.125,106.375
,109,-7.125,106.625
,110,-7.125,106.875
,111,-7.125,107.125
,112,-7.125,107.375
,113,-7.125,107.625
,114,-7.125,107.875
,115,-7.125,108.125
,116,-7.125,108.375
,117,-7.125,108.625
