first,system:index,SHAPE_Length,ENGTYPE_4,Join_Count,NAME_2,NAME_3,SHAPE_Area,TARGET_FID,NAME_0,NAME_1,OID_,NAME_4,Centroid_Y,GID_0,Centroid_X
1.938081867195618E-5,48,1,Village,120,Lumajang,Senduro,0.0625,7893,Indonesia,Jawa Timur,7893,Argosari,-7.874999999999943,IDN,112.87500000000011
1.902256531576311E-5,49,1,Urban Community,166,Kota Probolinggo,Kademangan,0.0625,7894,Indonesia,Jawa Timur,7894,Kademangan,-7.874999999999943,IDN,113.12500000000011
1.5681216622867743E-5,50,1,Village,205,Jember,Sumber Baru,0.0625,7895,Indonesia,Jawa Timur,7895,Jambesari,-7.874999999999943,IDN,113.37500000000011
4.8931449802322426E-5,51,1,Village,117,Bondowoso,Binakal,0.0625,7896,Indonesia,Jawa Timur,7896,Gadingsari,-7.874999999999943,IDN,113.62500000000011
9.964216173506121E-6,52,1,Village,7,Cianjur,Cidaun,0.0625,8039,Indonesia,Jawa Barat,8039,Cidamar,-7.624999999999943,IDN,107.37500000000004
9.954836154262708E-6,53,1,Village,35,Garut,Bungbulang,0.0625,8040,Indonesia,Jawa Barat,8040,Gunamekar,-7.624999999999943,IDN,107.62500000000004
7.940003105073858E-6,54,1,Village,57,Garut,Cibalong,0.0625,8041,Indonesia,Jawa Barat,8041,Cigaronggong,-7.624999999999943,IDN,107.87500000000004
9.257773712387508E-6,55,1,Village,90,Tasikmalaya,Bantarkalong,0.0625,8042,Indonesia,Jawa Barat,8042,Hegarwangi,-7.624999999999943,IDN,108.12500000000004
7.850392265581085E-6,56,1,Village,71,Ciamis,Banjarsari,0.0625,8043,Indonesia,Jawa Barat,8043,Cikupa,-7.624999999999943,IDN,108.37500000000004
3.922999351816792E-6,57,1,Village,76,Ciamis,Banjarsari,0.0625,8044,Indonesia,Jawa Barat,8044,Banjaranyar,-7.624999999999943,IDN,108.62500000000004
3.622520954215805E-5,58,1,Village,66,Ciamis,Kalipucang,0.0625,8045,Indonesia,Jawa Barat,8045,Bagolo,-7.624999999999943,IDN,108.87500000000004
1.647840611593479E-5,59,1,Village,150,Banyumas,Banyumas,0.0625,8046,Indonesia,Jawa Tengah,8046,Binangun,-7.624999999999943,IDN,109.12500000000004
8.518846461546403E-6,60,1,Village,204,Banjarnegara,Mandiraja,0.0625,8047,Indonesia,Jawa Tengah,8047,Glempang,-7.624999999999943,IDN,109.37500000000004
1.2518141643762972E-5,61,1,Village,314,Banjarnegara,Mandiraja,0.0625,8048,Indonesia,Jawa Tengah,8048,Jalatunda,-7.624999999999943,IDN,109.62500000000004
8.853528567499893E-6,62,1,Village,318,Kebumen,Alian,0.0625,8049,Indonesia,Jawa Tengah,8049,Kaliputih,-7.624999999999943,IDN,109.87500000000004
1.0889746111276927E-5,63,1,Urban Community,258,Kota Magelang,Magelang Selatan,0.0625,8050,Indonesia,Jawa Tengah,8050,Jurangombo Selatan,-7.624999999999943,IDN,110.12500000000004
1.5890863974562576E-5,64,1,Village,210,Boyolali,Cepogo,0.0625,8051,Indonesia,Jawa Tengah,8051,Gedangan,-7.624999999999943,IDN,110.37500000000004
1.1392903900900936E-5,65,1,Village,447,Boyolali,Banyudono,0.0625,8052,Indonesia,Jawa Tengah,8052,Bangak,-7.624999999999943,IDN,110.62500000000004
1.9878017751310437E-5,66,1,Village,320,Boyolali,Ngemplak,0.0625,8053,Indonesia,Jawa Tengah,8053,Dibal,-7.624999999999943,IDN,110.87500000000004
2.0281930332390608E-5,67,1,Village,181,Karanganyar,Jatipuro,0.0625,8054,Indonesia,Jawa Tengah,8054,Jatiharjo,-7.624999999999943,IDN,111.12500000000004
1.5513309610135095E-5,68,1,Village,298,Wonogiri,Puhpelem,0.0625,8055,Indonesia,Jawa Tengah,8055,Sukorejo,-7.624999999999943,IDN,111.37500000000004
1.790050879481148E-5,69,1,Urban Community,231,Kota Madiun,Kartoharjo,0.0625,8056,Indonesia,Jawa Timur,8056,Kanigoro,-7.624999999999943,IDN,111.62500000000004
1.6482199044482342E-5,70,1.000000000000114,Village,217,Kediri,Banyakan,0.062500000000014,8057,Indonesia,Jawa Timur,8057,Sendang,-7.624999999999943,IDN,111.87500000000009
2.5401703044168312E-5,71,1,Village,308,Jombang,Bandar Kedung Mulyo,0.0625,8058,Indonesia,Jawa Timur,8058,Bandar Kedung Mulyo,-7.624999999999943,IDN,112.12500000000011
2.3607285269897314E-5,72,1,Village,252,Jombang,Bareng,0.0625,8059,Indonesia,Jawa Timur,8059,Banjaragung,-7.624999999999943,IDN,112.37500000000011
3.789338986741523E-5,73,1,Urban Community,276,Batu,Bumiaji,0.0625,8060,Indonesia,Jawa Timur,8060,Sumber Brantas,-7.624999999999943,IDN,112.62500000000011
3.163515831522655E-5,74,1,Urban Community,252,Kota Pasuruan,Bugulkidul,0.0625,8061,Indonesia,Jawa Timur,8061,Bakalan,-7.624999999999943,IDN,112.87500000000011
2.233694008831238E-5,75,1,Urban Community,55,Kota Probolinggo,Kademangan,0.0625,8062,Indonesia,Jawa Timur,8062,Ketapang,-7.624999999999943,IDN,113.12500000000011
6.361808065778217E-5,76,1,Village,23,Probolinggo,Besuk,0.0625,8063,Indonesia,Jawa Timur,8063,Sumberan,-7.624999999999943,IDN,113.37500000000011
5.8663374463968484E-5,77,1,Village,38,Probolinggo,Kotaanyar,0.0625,8064,Indonesia,Jawa Timur,8064,Curah Temu,-7.624999999999943,IDN,113.62500000000011
1.3395914095834277E-5,78,1,Village,12,Sukabumi,Ciemas,0.0625,8203,Indonesia,Jawa Barat,8203,Cibenda,-7.374999999999943,IDN,106.37500000000004
9.854237175600637E-6,79,1,Village,53,Sukabumi,Cibitung,0.0625,8204,Indonesia,Jawa Barat,8204,Banyumurni,-7.374999999999943,IDN,106.62500000000004
8.790938426562927E-6,80,1,Village,44,Cianjur,Agrabinta,0.0625,8205,Indonesia,Jawa Barat,8205,Bojongkaso,-7.374999999999943,IDN,106.87500000000004
9.704974794341787E-6,81,1,Village,69,Cianjur,Cibinong,0.0625,8206,Indonesia,Jawa Barat,8206,Batulawang,-7.374999999999943,IDN,107.12500000000004
5.037151136680645E-6,82,1,Village,46,Bandung,Pangalengan,0.0625,8207,Indonesia,Jawa Barat,8207,Sukaluyu,-7.374999999999943,IDN,107.37500000000004
8.00793396093757E-6,83,1,Village,66,Bandung,Kertasari,0.0625,8208,Indonesia,Jawa Barat,8208,Neglawangi,-7.374999999999943,IDN,107.62500000000004
8.088743646236483E-6,84,1,Village,138,Garut,Banjarwangi,0.0625,8209,Indonesia,Jawa Barat,8209,Banjarwangi,-7.374999999999943,IDN,107.87500000000004
1.1281771397400603E-5,85,1,Village,215,Ciamis,Cihaurbeuti,0.0625,8210,Indonesia,Jawa Barat,8210,Cijulang,-7.374999999999943,IDN,108.12500000000004
1.75673146317085E-5,86,1,Urban Community,162,Banjar,Banjar,0.0625,8211,Indonesia,Jawa Barat,8211,Balokang,-7.374999999999943,IDN,108.37500000000004
1.0435773597902785E-5,87,1,Urban Community,129,Banjar,Banjar,0.0625,8212,Indonesia,Jawa Barat,8212,Balokang,-7.374999999999943,IDN,108.62500000000004
1.8293149850154518E-5,88,1,Village,111,Banyumas,Gumelar,0.0625,8213,Indonesia,Jawa Tengah,8213,Cihonje,-7.374999999999943,IDN,108.87500000000004
9.315772358834981E-6,89,1,Village,194,Banyumas,Ajibarang,0.0625,8214,Indonesia,Jawa Tengah,8214,Ajibarang Kulon,-7.374999999999943,IDN,109.12500000000004
1.2486453441959027E-5,90,1,Village,329,Banjarnegara,Mandiraja,0.0625,8215,Indonesia,Jawa Tengah,8215,Blimbing,-7.374999999999943,IDN,109.37500000000004
1.4760959469236177E-5,91,1,Village,202,Banjarnegara,Banjarmangu,0.0625,8216,Indonesia,Jawa Tengah,8216,Banjarkulon,-7.374999999999943,IDN,109.62500000000004
5.109726616410874E-6,92,1,Village,275,Banjarnegara,Banjarnegara,0.0625,8217,Indonesia,Jawa Tengah,8217,Cendana,-7.374999999999943,IDN,109.87500000000004
7.22381004445532E-7,93,1,Urban Community,337,Kota Magelang,Magelang Selatan,0.0625,8218,Indonesia,Jawa Tengah,8218,Jurangombo Selatan,-7.374999999999943,IDN,110.12500000000004
1.7425000670321048E-5,94,1,Village,241,Boyolali,Ampel,0.0625,8219,Indonesia,Jawa Tengah,8219,Candisari,-7.374999999999943,IDN,110.37500000000004
1.924299884037194E-5,95,1,Village,243,Boyolali,Ampel,0.0625,8220,Indonesia,Jawa Tengah,8220,Banyuanyar,-7.374999999999943,IDN,110.62500000000004
1.9850183679172737E-5,96,1,Village,198,Boyolali,Andong,0.0625,8221,Indonesia,Jawa Tengah,8221,Andong,-7.374999999999943,IDN,110.87500000000004
1.9914993366284357E-5,97,1,Village,132,Blora,Jati,0.0625,8222,Indonesia,Jawa Tengah,8222,Bangkleyan,-7.374999999999943,IDN,111.12500000000004
1.9232582471217985E-5,98,1,Village,112,Blora,Jati,0.0625,8223,Indonesia,Jawa Tengah,8223,Bangkleyan,-7.374999999999943,IDN,111.37500000000004
9.007527379743592E-6,99,1,Village,131,Bojonegoro,Margomulyo,0.0625,8224,Indonesia,Jawa Timur,8224,Geneng,-7.374999999999943,IDN,111.62500000000004
1.3750950504482762E-5,100,1.000000000000114,Village,102,Bojonegoro,Bubulan,0.062500000000014,8225,Indonesia,Jawa Timur,8225,Bubulan,-7.374999999999943,IDN,111.87500000000009
1.4364692559358672E-5,101,1,Village,163,Bojonegoro,Kedungadem,0.0625,8226,Indonesia,Jawa Timur,8226,Babad,-7.374999999999943,IDN,112.12500000000011
2.4567214264965705E-5,102,1,Village,282,Gresik,Balongpanggang,0.0625,8227,Indonesia,Jawa Timur,8227,Babatan,-7.374999999999943,IDN,112.37500000000011
4.6836527587886705E-5,103,1,Village,463,Gresik,Benjeng,0.0625,8228,Indonesia,Jawa Timur,8228,Bengkelolor,-7.374999999999943,IDN,112.62500000000011
5.209567435419179E-5,104,1,Village,93,Sidoarjo,Buduran,0.0625,8229,Indonesia,Jawa Timur,8229,Damarsi,-7.374999999999943,IDN,112.87500000000011
2.9905506263888964E-5,105,1,Village,1,Sampang,Sampang,0.0625,8230,Indonesia,Jawa Timur,8230,Pulau Mandangin,-7.374999999999943,IDN,113.12500000000011
3.379763211311005E-5,106,1,Village,3,Pamekasan,Pademawu,0.0625,8232,Indonesia,Jawa Timur,8232,Padelegan,-7.374999999999943,IDN,113.62500000000011
1.0136543622783805E-5,107,1,Village,1,Pandeglang,Cikeusik,0.0625,8368,Indonesia,Banten,8368,Cikiruhwetan,-7.124999999999943,IDN,105.62500000000004
2.4098672867113934E-5,108,1,Village,9,Sukabumi,Ciemas,0.0625,8371,Indonesia,Jawa Barat,8371,Cibenda,-7.124999999999943,IDN,106.37500000000004
2.0511749550914935E-5,109,1,Village,56,Sukabumi,Bantargadung,0.0625,8372,Indonesia,Jawa Barat,8372,Bantargadung,-7.124999999999943,IDN,106.62500000000004
1.9343242572820518E-5,110,1,Village,77,Cianjur,Kadupandak,0.0625,8373,Indonesia,Jawa Barat,8373,Sukakerta,-7.124999999999943,IDN,106.87500000000004
2.8502483953077248E-5,111,1,Village,79,Bandung Barat,Gununghalu,0.0625,8374,Indonesia,Jawa Barat,8374,Bunijaya,-7.124999999999943,IDN,107.12500000000004
,112,1,Village,65,Bandung Barat,Cililin,0.0625,8375,Indonesia,Jawa Barat,8375,Karyamukti,-7.124999999999943,IDN,107.37500000000004
2.1894890568776636E-5,113,1,Village,151,Bandung,Arjasari,0.0625,8376,Indonesia,Jawa Barat,8376,Ancolmekar,-7.124999999999943,IDN,107.62500000000004
1.6571651040379635E-5,114,1,Village,261,Bandung,Cicalengka,0.0625,8377,Indonesia,Jawa Barat,8377,Margaasih,-7.124999999999943,IDN,107.87500000000004
1.2562622954061097E-5,115,1,Village,192,Ciamis,Cihaurbeuti,0.0625,8378,Indonesia,Jawa Barat,8378,Cihaurbeuti,-7.124999999999943,IDN,108.12500000000004
1.1663380291574571E-5,116,1,Village,197,Ciamis,Cihaurbeuti,0.0625,8379,Indonesia,Jawa Barat,8379,Hutan,-7.124999999999943,IDN,108.37500000000004
1.0102720974269175E-5,117,1,Village,169,Ciamis,Rancah,0.0625,8380,Indonesia,Jawa Barat,8380,Bojonggedang,-7.124999999999943,IDN,108.62500000000004
2.1845594521695253E-5,118,1,Village,100,Kuningan,Cibingbin,0.0625,8381,Indonesia,Jawa Barat,8381,Bantarpanjang,-7.124999999999943,IDN,108.87500000000004
1.8248165166924563E-5,119,1,Village,183,Banyumas,Baturraden,0.0625,8382,Indonesia,Jawa Tengah,8382,Kemutug Lor,-7.124999999999943,IDN,109.12500000000004
1.4215441145932569E-5,120,1,Village,129,Pekalongan,Kandangserang,0.0625,8383,Indonesia,Jawa Tengah,8383,Bojongkoneng,-7.124999999999943,IDN,109.37500000000004
1.720489935243274E-5,121,1,Village,181,Banjarnegara,Kalibening,0.0625,8384,Indonesia,Jawa Tengah,8384,Bedana,-7.124999999999943,IDN,109.62500000000004
3.1961568451964585E-5,122,1,Village,214,Banjarnegara,Batur,0.0625,8385,Indonesia,Jawa Tengah,8385,Bakal,-7.124999999999943,IDN,109.87500000000004
2.602977120302781E-5,123,1,Village,194,Batang,Gringsing,0.0625,8386,Indonesia,Jawa Tengah,8386,Madugowongjati,-7.124999999999943,IDN,110.12500000000004
2.12632498845408E-5,124,1,Village,232,Demak,Mranggen,0.0625,8387,Indonesia,Jawa Tengah,8387,Bandungrejo,-7.124999999999943,IDN,110.37500000000004
2.332308306830064E-5,125,1,Village,173,Boyolali,Juwangi,0.0625,8388,Indonesia,Jawa Tengah,8388,Cerme,-7.124999999999943,IDN,110.62500000000004
1.4037395518582566E-5,126,1,Village,152,Boyolali,Juwangi,0.0625,8389,Indonesia,Jawa Tengah,8389,Cerme,-7.124999999999943,IDN,110.87500000000004
1.161615751139614E-5,127,1,Village,103,Blora,Jati,0.0625,8390,Indonesia,Jawa Tengah,8390,Bangkleyan,-7.124999999999943,IDN,111.12500000000004
1.2328096268313113E-5,128,1,Village,118,Blora,Banjarejo,0.0625,8391,Indonesia,Jawa Tengah,8391,Bacem,-7.124999999999943,IDN,111.37500000000004
1.535558386457507E-5,129,1,Village,169,Blora,Cepu,0.0625,8392,Indonesia,Jawa Tengah,8392,Balun,-7.124999999999943,IDN,111.62500000000004
1.4441298530410463E-5,130,1.000000000000114,Village,220,Bojonegoro,Balen,0.062500000000014,8393,Indonesia,Jawa Timur,8393,Balenrejo,-7.124999999999943,IDN,111.87500000000009
1.9892605087046795E-5,131,1,Village,246,Bojonegoro,Balen,0.0625,8394,Indonesia,Jawa Timur,8394,Penganten,-7.124999999999943,IDN,112.12500000000011
3.365030681167604E-5,132,1,Village,298,Gresik,Balongpanggang,0.0625,8395,Indonesia,Jawa Timur,8395,Babatan,-7.124999999999943,IDN,112.37500000000011
1.1402739050495805E-4,133,1,Village,258,Bangkalan,Bangkalan,0.0625,8396,Indonesia,Jawa Timur,8396,Demangan,-7.124999999999943,IDN,112.62500000000011
2.644736323201607E-5,134,1,Village,171,Bangkalan,Arosbaya,0.0625,8397,Indonesia,Jawa Timur,8397,Batonaong,-7.124999999999943,IDN,112.87500000000011
1.311547445909026E-5,135,1,Village,130,Bangkalan,Blega,0.0625,8398,Indonesia,Jawa Timur,8398,Alasraja,-7.124999999999943,IDN,113.12500000000011
3.680922812012481E-5,136,1,Village,175,Pamekasan,Batu Marmar,0.0625,8399,Indonesia,Jawa Timur,8399,Bujur Tengah,-7.124999999999943,IDN,113.37500000000011
1.6042721277375025E-5,137,1,Village,136,Pamekasan,Batu Marmar,0.0625,8400,Indonesia,Jawa Timur,8400,Bujur Tengah,-7.124999999999943,IDN,113.62500000000011
1.8303850540798766E-5,138,1,Village,1,Pandeglang,Sumur,0.0625,8534,Indonesia,Banten,8534,Ujungjaya,-6.874999999999943,IDN,105.12500000000004
1.4953389826284548E-5,139,1,Village,1,Pandeglang,Sumur,0.0625,8535,Indonesia,Banten,8535,Ujungjaya,-6.874999999999943,IDN,105.37500000000004
1.0647996555910145E-5,140,1,Village,24,Pandeglang,Cibaliung,0.0625,8536,Indonesia,Banten,8536,Sorongan,-6.874999999999943,IDN,105.62500000000004
1.840487257725519E-5,141,1,Village,29,Lebak,Malingping,0.0625,8537,Indonesia,Banten,8537,Bolang,-6.874999999999943,IDN,105.87500000000004
1.9040828586513743E-5,142,1,Village,46,Lebak,Bayah,0.0625,8538,Indonesia,Banten,8538,Bayah Barat,-6.874999999999943,IDN,106.12500000000004
2.908494838877454E-5,143,1,Village,61,Lebak,Bayah,0.0625,8539,Indonesia,Banten,8539,Bayah Barat,-6.874999999999943,IDN,106.37500000000004
2.264308158632032E-5,144,1,Village,86,Lebak,Cibeber,0.0625,8540,Indonesia,Banten,8540,Sinargalih,-6.874999999999943,IDN,106.62500000000004
2.1671037461701103E-5,145,1,Village,205,Bogor,Caringin,0.0625,8541,Indonesia,Jawa Barat,8541,Cimande,-6.874999999999943,IDN,106.87500000000004
2.4183024100369824E-5,146,1,Village,160,Bandung Barat,Rongga,0.0625,8542,Indonesia,Jawa Barat,8542,Bojong,-6.874999999999943,IDN,107.12500000000004
2.85496224782865E-5,147,1,Village,140,Bandung Barat,Batujajar,0.0625,8543,Indonesia,Jawa Barat,8543,Batujajar Barat,-6.874999999999943,IDN,107.37500000000004
4.109916546057968E-5,148,1,Village,308,Bandung Barat,Batujajar,0.0625,8544,Indonesia,Jawa Barat,8544,Batujajar Barat,-6.874999999999943,IDN,107.62500000000004
1.9814367598221523E-5,149,1,Village,208,Bandung,Cicalengka,0.0625,8545,Indonesia,Jawa Barat,8545,Babakanpeuteuy,-6.874999999999943,IDN,107.87500000000004
1.7878637765067043E-5,150,1,Village,184,Garut,Malangbong,0.0625,8546,Indonesia,Jawa Barat,8546,Cilampuyang,-6.874999999999943,IDN,108.12500000000004
1.2817762461270523E-5,151,1,Village,310,Cirebon,Depok,0.0625,8547,Indonesia,Jawa Barat,8547,Cikeduk,-6.874999999999943,IDN,108.37500000000004
1.2725691519617225E-5,152,1,Village,334,Cirebon,Astanajapura,0.0625,8548,Indonesia,Jawa Barat,8548,Astanajapura,-6.874999999999943,IDN,108.62500000000004
1.5713872957845472E-5,153,1,Village,172,Cirebon,Babakan,0.0625,8549,Indonesia,Jawa Barat,8549,Sumber Lor,-6.874999999999943,IDN,108.87500000000004
1.9832157662852086E-5,154,1,Village,261,Brebes,Brebes,0.0625,8550,Indonesia,Jawa Tengah,8550,Banjaranyar,-6.874999999999943,IDN,109.12500000000004
2.055836612162782E-5,155,1,Village,114,Pekalongan,Kesesi,0.0625,8551,Indonesia,Jawa Tengah,8551,Sidomulyo,-6.874999999999943,IDN,109.37500000000004
2.1895441506633888E-5,156,1,Village,320,Batang,Batang,0.0625,8552,Indonesia,Jawa Tengah,8552,Cepokokuning,-6.874999999999943,IDN,109.62500000000004
2.0254278278899533E-5,157,1,Village,95,Batang,Bandar,0.0625,8553,Indonesia,Jawa Tengah,8553,Batiombo,-6.874999999999943,IDN,109.87500000000004
2.5063110625753706E-5,158,1,Village,188,Batang,Gringsing,0.0625,8554,Indonesia,Jawa Tengah,8554,Gringsing,-6.874999999999943,IDN,110.12500000000004
